instance,start,neighbourhood,pivot,cost,time_in_seconds,deviation_percentage
N-t59d11xx_150,CW,Transpose,First-improvement,1225613,0.000000,+16.2087
N-t59d11xx_150,CW,Transpose,Best-improvement,1228680,0.000000,+15.9990
N-t59d11xx_150,CW,Exchange,First-improvement,1426626,1.906000,+2.4661
N-t59d11xx_150,CW,Exchange,Best-improvement,1417185,0.360000,+3.1115
N-t59d11xx_150,CW,Insert,First-improvement,1441317,1.766000,+1.4617
N-t59d11xx_150,CW,Insert,Best-improvement,1441103,0.484000,+1.4763
N-t59d11xx_250,Random,Transpose,First-improvement,2676664,0.000000,+30.3164
N-t59d11xx_250,Random,Transpose,Best-improvement,2685286,0.000000,+30.0919
N-t59d11xx_250,Random,Exchange,First-improvement,3749417,22.063000,+2.3886
N-t59d11xx_250,Random,Exchange,Best-improvement,3714911,3.875000,+3.2869
N-t59d11xx_250,Random,Insert,First-improvement,3774817,18.844000,+1.7273
N-t59d11xx_250,Random,Insert,Best-improvement,3782677,3.953000,+1.5227
N-t59d11xx_250,CW,Transpose,First-improvement,3256340,0.000000,+15.2252
N-t59d11xx_250,CW,Transpose,Best-improvement,3260621,0.000000,+15.1138
N-t59d11xx_250,CW,Exchange,First-improvement,3747166,18.109000,+2.4472
N-t59d11xx_250,CW,Exchange,Best-improvement,3730997,3.469000,+2.8681
N-t59d11xx_250,CW,Insert,First-improvement,3792906,12.687000,+1.2564
N-t59d11xx_250,CW,Insert,Best-improvement,3762976,3.172000,+2.0356
N-t59f11xx_150,Random,Transpose,First-improvement,1017299,0.000000,+34.1014
N-t59f11xx_150,Random,Transpose,Best-improvement,1020804,0.000000,+33.8743
N-t59f11xx_150,Random,Exchange,First-improvement,1489560,2.344000,+3.5092
N-t59f11xx_150,Random,Exchange,Best-improvement,1490221,0.516000,+3.4664
N-t59f11xx_150,Random,Insert,First-improvement,1514993,1.969000,+1.8617
N-t59f11xx_150,Random,Insert,Best-improvement,1518942,0.625000,+1.6059
N-t59f11xx_150,CW,Transpose,First-improvement,1282066,0.000000,+16.9503
N-t59f11xx_150,CW,Transpose,Best-improvement,1284294,0.000000,+16.8060
